"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"3","VI","SYM.Other.XY","NP","VI",NA,"VI",1,"VI",NA,NA,NA
"4","rent","FM","NN","rent",NA,"rent",0,NA,"rent",NA,NA
"5","utility","FM","NN","utility",NA,"utility",0,NA,"utility",NA,NA
"6","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"7","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"8","deſign","N.Reg.Nom.Pl.Fem","NN","design",NA,"design",0,NA,"design",NA,NA
"9",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"10","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA
"11",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"12","probably","ADJD.Pos","RB","probably",NA,"probably",0,NA,"probably",NA,NA
"13",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"14","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA
"15","ſufficiently","FM","RB","sufficiently","sufficiently","sufficiently",0,NA,"sufficiently",NA,NA
"16","apprized","FM","VVN","apprized",NA,"apprized",0,NA,"apprized",NA,NA
"17","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"18","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"19","labour","FM","NN","labour",NA,"labour",0,NA,"labour",NA,NA
"20","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA
"21","was","FM","VBD","was",NA,"was",0,NA,"was",NA,NA
"22","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"23","attend","FM","VV","attend",NA,"attend",0,NA,"attend",NA,NA
"24","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"25","undertaking","FM","NN","undertaking",NA,"undertaking",0,NA,"undertaking",NA,NA
"26",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"27","Thus","FM","RB","Thus",NA,"Thus",0,NA,"Thus",NA,NA
"28","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA
"29","find","FM","VVP","find","find","find",0,NA,"find",NA,NA
"30","them","ADJA.Pos.Dat.Sg.Neut","PP","them",NA,"them",0,NA,"them",NA,NA
"31","contenting","FM","VVG","contenting",NA,"contenting",0,NA,"contenting",NA,NA
"32","themſelves","FM","NNS","themselves",NA,"themselves",0,NA,"themselves",NA,NA
"33","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA
"34","driving","FM","VVG","driving",NA,"driving",0,NA,"driving",NA,NA
"35","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"36","heavy","FM","JJ","heavy",NA,"heavy",0,NA,"heavy",NA,NA
"37","labours","FM","NNS","labours",NA,"labours",1,"labours",NA,NA,"labours"
"38","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"39","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"40","track","FM","NN","track",NA,"track",0,NA,"track",NA,NA
"41","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"42","former","FM","JJ","former","former","former",0,NA,"former",NA,NA
"43","error","FM","NN","error",NA,"error",0,NA,"error",NA,NA
"44",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"45","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"46","never","FM","RB","never",NA,"never",0,NA,"never",NA,NA
"47","venturing","FM","VVG","venturing",NA,"venturing",0,NA,"venturing",NA,NA
"48","from","FM","IN","from","from","from",0,NA,"from",NA,NA
"49","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"50","beaten","FM","JJ","beaten",NA,"beaten",0,NA,"beaten",NA,NA
"51","road","FM","NN","road",NA,"road",0,NA,"road",NA,NA
"52","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"53","queſt","N.Name.*.*.*","NN","quest",NA,"quest",0,NA,"quest",NA,NA
"54","either","N.Name.*.*.*","CC","either",NA,"either",0,NA,"either",NA,NA
"55","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA
"56","beauty","FM","NN","beauty",NA,"beauty",0,NA,"beauty",NA,NA
"57","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA
"58","improvement","FM","NN","improvement",NA,"improvement",0,NA,"improvement",NA,NA
"59",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"60","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA
"61","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA
"62","true","FM","JJ","true",NA,"true",0,NA,"true",NA,NA
"63",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"64","however","FM","RB","however",NA,"however",0,NA,"however",NA,NA
"65",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"66","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA
"67","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"68","theſe","N.Reg.Dat.Sg.Fem","NN","these",NA,"these",0,NA,"these",NA,NA
"69","there","VFIN.Full.3.Sg.Pres.Subj","EX","there",NA,"there",0,NA,"there",NA,NA
"70","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA
"71","often","FM","RB","often","often","often",0,NA,"often",NA,NA
"72","found","FM","VVN","found","found","found",0,NA,"found",NA,NA
"73","ſome","FM","NN","some",NA,"some",0,NA,"some",NA,NA
"74","good","FM","JJ","good",NA,"good",0,NA,"good",NA,NA
"75","grammatical","FM","JJ","grammatical",NA,"grammatical",0,NA,"grammatical",NA,NA
"76","inſtructions","FM","NNS","instructions",NA,"instructions",1,"instructions",NA,NA,"instructions"
"77",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"78","which","VIMP.Full.2.Sg","WDT","which",NA,"which",0,NA,"which",NA,NA
"79","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA
"80","have","VIMP.Aux.2.Sg","VHP","have",NA,"have",0,NA,"have",NA,NA
"81","taken","VFIN.Full.1.Pl.Pres.Ind","VVN","taken",NA,"taken",0,NA,"taken",NA,NA
"82","care","FM","NN","care",NA,"care",0,NA,"care",NA,NA
"83","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"84","preferve","FM","VV","preferve","preferve","preferve",1,"preferve",NA,NA,NA
"85","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"86","improve","FM","VV","improve",NA,"improve",0,NA,"improve",NA,NA
"87",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"88","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA
"89","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"90","rules","FM","NNS","rules",NA,"rules",0,NA,"rules",NA,NA
"91","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"92","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA
"93","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA
"94","ſo","FM","NN","so",NA,"so",0,NA,"so",NA,NA
"95","intricate","FM","JJ","intricate",NA,"intricate",0,NA,"intricate",NA,NA
"96","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"97","indigeſted","FM","JJ","indigested",NA,"indigested",0,NA,"indigested",NA,NA
"98",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"99","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"100","ſo","FM","NN","so",NA,"so",0,NA,"so",NA,NA
"101","manifeſtly","FM","RB","manifestly","manifestly","manifestly",0,NA,"manifestly",NA,NA
"102","deficient","FM","JJ","deficient","deficient","deficient",0,NA,"deficient",NA,NA
"103",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"104","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"105","even","FM","RB","even",NA,"even",0,NA,"even",NA,NA
"106","falſe","N.Reg.Nom.Sg.Fem","NNS","false","false","false",0,NA,"false",NA,NA
"107","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"108","ſeveral","FM","JJ","several",NA,"several",0,NA,"several",NA,NA
"109","places","FM","NNS","places",NA,"places",0,NA,"places",NA,NA
"110",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"111","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA
"112","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA
"113","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA
"114","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"115","writers","FM","NNS","writers",NA,"writers",1,"writers",NA,NA,"writers"
"116","themfelves","FM","NN","themfelves","themfelves","themfelves",1,"themfelves",NA,NA,NA
"117","muft","VFIN.Full.3.Sg.Pres.Ind","NN","muft","muft","muft",1,"muft",NA,NA,NA
"118","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"119","convinced","FM","VVN","convinced",NA,"convinced",0,NA,"convinced",NA,NA
"120","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"121","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"122","neceflity","FM","NN","neceflity","neceflity","neceflity",1,"neceflity",NA,NA,NA
"123","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"124","another","ADJD.Comp","DT","another",NA,"another",0,NA,"another",NA,NA
"125","attempt","FM","NN","attempt",NA,"attempt",0,NA,"attempt",NA,NA
"126","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"127","reduce","FM","VV","reduce",NA,"reduce",0,NA,"reduce",NA,NA
"128","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA
"129","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA
"130","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA
"131","ſyſtem","FM","NN","system",NA,"system",0,NA,"system",NA,NA
"132",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"133","This","FM","DT","This",NA,"This",0,NA,"This",NA,NA
"134","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA
"135","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"136","undertaken","FM","VVN","undertaken",NA,"undertaken",0,NA,"undertaken",NA,NA
"137",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"138","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"139","errors","FM","NNS","errors",NA,"errors",0,NA,"errors",NA,NA
"140","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"141","others","FM","NNS","others",NA,"others",0,NA,"others",NA,NA
"142","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA
"143","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"144","taken","FM","VVN","taken",NA,"taken",0,NA,"taken",NA,NA
"145","care","FM","NN","care",NA,"care",0,NA,"care",NA,NA
"146","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"147","correct","FM","VV","correct",NA,"correct",0,NA,"correct",NA,NA
"148",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"149","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA
"150","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA
"151","reader","N.Name.*.*.*","NN","reader",NA,"reader",0,NA,"reader",NA,NA
"152","muſt","N.Name.*.*.*","NN","must",NA,"must",0,NA,"must",NA,NA
"153","judge","N.Name.*.*.*","NN","judge",NA,"judge",0,NA,"judge",NA,NA
"154","for","N.Name.*.*.*","IN","for","for","for",0,NA,"for",NA,NA
"155","himſelt","N.Name.*.*.*","NN","himselt",NA,"himselt",1,"himselt",NA,NA,NA
"156","whether","N.Name.*.*.*","IN","whether",NA,"whether",0,NA,"whether",NA,NA
"157","I","N.Name.*.*.*","PP","I",NA,"I",0,NA,"I",NA,NA
"158","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"159","ſubſtituted","FM","VVN","substituted",NA,"substituted",0,NA,"substituted",NA,NA
"160","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA
"161","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"162","my","FM","PP$","my",NA,"my",0,NA,"my",NA,NA
"163","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA
"164",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"165","Yet","FM","RB","Yet",NA,"Yet",0,NA,"Yet",NA,NA
"166","if","FM","IN","if","if","if",0,NA,"if",NA,NA
"167","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"168","reader","FM","NN","reader",NA,"reader",0,NA,"reader",NA,NA
"169","conſiders","FM","VVZ","considers",NA,"considers",1,"considers",NA,NA,NA
"170","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"171","number","FM","NN","number",NA,"number",0,NA,"number",NA,NA
"172","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"173","prejudices","FM","NNS","prejudices",NA,"prejudices",1,"prejudices",NA,NA,"prejudices"
"174","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"175","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"176","furmounted","FM","VVN","furmounted","furmounted","furmounted",1,"furmounted",NA,NA,NA
"177","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"178","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA
"179","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA
"180","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"181","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA
"182","kind","FM","NN","kind",NA,"kind",0,NA,"kind",NA,NA
"183",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"184","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"185","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"186","many","FM","JJ","many",NA,"many",0,NA,"many",NA,NA
"187","obſections","FM","NNS","obsections",NA,"obsections",1,"obsections",NA,NA,"obsections"
"188","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"189","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"190","obviated","FM","VVN","obviated",NA,"obviated",1,"obviated",NA,NA,NA
"191",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"192","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA
"193","either","ADJD.Comp","DT","either",NA,"either",0,NA,"either",NA,NA
"194","ignorance","FM","NN","ignorance",NA,"ignorance",0,NA,"ignorance",NA,NA
"195","Or","FM","CC","Or",NA,"Or",0,NA,"Or",NA,NA
"196","vanity","FM","NN","vanity",NA,"vanity",0,NA,"vanity",NA,NA
"197","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA
"198","thrown","N.Name.Nom.Sg.*","VVN","thrown",NA,"thrown",0,NA,"thrown",NA,NA
"199","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"200","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA
"201","way","FM","NN","way",NA,"way",0,NA,"way",NA,NA
"202",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"203","he","FM","PP","he",NA,"he",0,NA,"he",NA,NA
"204","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA
"205","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA
"206","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"207","furprifed","FM","VVN","furprifed","furprifed","furprifed",1,"furprifed",NA,NA,NA
"208","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"209","find","FM","VV","find","find","find",0,NA,"find",NA,NA
"210","us","FM","PP","us",NA,"us",0,NA,"us",NA,NA
"211",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"212","while","FM","IN","while",NA,"while",0,NA,"while",NA,NA
"213","intent","FM","NN","intent",NA,"intent",0,NA,"intent",NA,NA
"214","upon","FM","IN","upon",NA,"upon",0,NA,"upon",NA,NA
"215","correcting","FM","VVG","correcting",NA,"correcting",0,NA,"correcting",NA,NA
"216","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"217","deviations","FM","NNS","deviations",NA,"deviations",1,"deviations",NA,NA,"deviations"
"218","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"219","others","FM","NNS","others",NA,"others",0,NA,"others",NA,NA
"220",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"221","ſometimes","FM","NNS","sometimes",NA,"sometimes",0,NA,"sometimes",NA,NA
"222","guilty","FM","JJ","guilty",NA,"guilty",0,NA,"guilty",NA,NA
"223","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"224","deviation","FM","NN","deviation",NA,"deviation",0,NA,"deviation",NA,NA
"225","ourſelves","FM","NNS","ourselves",NA,"ourselves",1,"ourselves",NA,NA,"ourselves"
"226",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"227","We","FM","PP","We",NA,"We",0,NA,"We",NA,NA
"228","were","FM","VBD","were",NA,"were",0,NA,"were",NA,NA
"229","not","PART.Verb","RB","not",NA,"not",0,NA,"not",NA,NA
"230","only","FM","RB","only",NA,"only",0,NA,"only",NA,NA
"231","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"232","guard","FM","VV","guard",NA,"guard",0,NA,"guard",NA,NA
"233","agamſt","FM","NN","agamst",NA,"agamst",1,"agamst",NA,NA,NA
"234","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"235","errors","FM","NNS","errors",NA,"errors",0,NA,"errors",NA,NA
"236","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"237","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"238","ignorant","ADJD.Pos","JJ","ignorant",NA,"ignorant",0,NA,"ignorant",NA,NA
"239",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"240","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA
"241","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"242","deluſions","FM","NNS","delusions",NA,"delusions",0,NA,"delusions",NA,NA
"243","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"244","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"245","learned","FM","VVN","learned",NA,"learned",0,NA,"learned",NA,NA
"246",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"247","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA
"248","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA
"249","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been"
"250","alierted","FM","VVN","alierted",NA,"alierted",1,"alierted",NA,NA,NA
"251","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA
"252","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"253","latter","FM","NN","latter",NA,"latter",0,NA,"latter",NA,NA
"254",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"255","for","FM","IN","for","for","for",0,NA,"for",NA,NA
"256","inſtance","FM","NN","instance",NA,"instance",0,NA,"instance",NA,NA
"257",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"258","that","PRO.Dem.Subst.-.Dat.Sg.Neut","DT","that",NA,"that",0,NA,"that",NA,NA
"259","m","N.Reg.*.*.Masc","NN","m",NA,"m",0,NA,"m",NA,NA
"260","order","VIMP.Full.2.Sg","NN","order",NA,"order",0,NA,"order",NA,NA
"261","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"262","produce","FM","VV","produce",NA,"produce",0,NA,"produce",NA,NA
"263","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA
"264","complete","FM","JJ","complete",NA,"complete",0,NA,"complete",NA,NA
"265","Grammar","N.Name.Nom.Sg.Masc","NN","Grammar",NA,"Grammar",0,NA,"Grammar",NA,NA
"266","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"267","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA
"268","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA
"269",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"270","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA
"271","lhould","ADJD.Pos","VVP","lhould",NA,"lhould",1,"lhould",NA,NA,NA
"272","imitate","FM","VV","imitate",NA,"imitate",0,NA,"imitate",NA,NA
"273","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"274","Latin","N.Name.Dat.Sg.*","NP","Latin",NA,"Latin",0,NA,"Latin",NA,NA
"275","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"276","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"277","formation","FM","NN","formation","formation","formation",0,NA,"formation",NA,NA
